country;Region indicator;Happiness score;Whisker-high;Whisker-low;Dystopia (1.92) + residual;Explained by: GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption
Croatia;Central and Eastern Europe;5,321199894;5,398411248;5,24398854;1,768957138;1,114919662;1,160970569;0,737016618;0,38037467;0,120023772;0,038948059
Dominican Republic;Latin America and Caribbean;5,301799774;5,425522349;5,178077199;1,460903645;0,981681585;1,440734982;0,614489913;0,578275084;0,119947083;0,105739914
Algeria;Middle East and North Africa;5,29460001;5,406490524;5,182709496;2,208534718;0,978857398;1,153656006;0,686598539;0,077279784;0,055194642;0,134516582
Morocco;Middle East and North Africa;5,25369978;5,328287731;5,179111828;2,44786644;0,778792441;0,7973423;0,668939471;0,460116357;0,02639645;0,074259758
China;East Asia;5,245800018;5,29445751;5,197142527;1,586327076;0,98931706;1,141976833;0,799402475;0,596788108;0,028651087;0,103335373
Azerbaijan;Commonwealth of Independent States;5,200600147;5,269875674;5,13132462;1,775565624;1,024018288;1,160891294;0,602876425;0,429843485;0,030907966;0,176491767
Lebanon;Middle East and North Africa;5,198900223;5,287540832;5,110259613;1,770734787;0,964538932;1,166403651;0,785433471;0,291652322;0,186524346;0,033602774
Macedonia;Central and Eastern Europe;5,184800148;5,278505462;5,091094835;1,67538023;0,95934546;1,239322066;0,690588176;0,394488454;0,173220634;0,052461412
Jordan;Middle East and North Africa;5,160699844;5,269474523;5,051925166;1,697410822;0,821585596;1,264981866;0,644879878;0,467821836;0,129848301;0,134173959
Nigeria;Sub-Saharan Africa;5,155399799;5,275312174;5,035487424;2,552153826;0,689119935;1,171709538;0,047720075;0,461857051;0,201041728;0,031750355
Kyrgyzstan;Commonwealth of Independent States;5,13079977;5,216756966;5,044842575;1,735887766;0,529648721;1,416388512;0,593676209;0,539891124;0,280681849;0,034580212
Bosnia and Herzegovina;Central and Eastern Europe;5,129399776;5,22408434;5,034715213;1,882594824;0,91491735;1,078052163;0,757558048;0,280308336;0,215923265;0
Mongolia;East Asia;5,124599934;5,198784919;5,050414949;1,438151121;0,914174378;1,517245531;0,575362206;0,395128399;0,252841473;0,031713028
Vietnam;Southeast Asia;5,103199959;5,176771933;5,029627984;1,447296143;0,714631498;1,365006089;0,701524973;0,618242502;0,17704612;0,079498939
Indonesia;Southeast Asia;5,092599869;5,193781909;4,991417829;1,416755199;0,899046779;1,21457231;0,522390306;0,538158119;0,484024584;0,017631214
Bhutan;South Asia;5,082099915;5,19556304;4,968636789;1,34826088;0,7963624;1,334615231;0,526566803;0,541495323;0,364007264;0,170820683
Somalia;Sub-Saharan Africa;4,981500149;5,086608125;4,876392172;2,960510015;0;0,711924613;0,115404524;0,673619688;0,237982944;0,282091856
Cameroon;Sub-Saharan Africa;4,975299835;5,09026363;4,86033604;2,687650681;0,534661353;0,890813172;0,182390258;0,45361799;0,182793662;0,043399986
Bulgaria;Central and Eastern Europe;4,933100224;5,021932368;4,844268079;1,218792439;1,054437399;1,515229106;0,712353706;0,358757168;0,064212635;0,009341992
Nepal;South Asia;4,880400181;4,991715499;4,769084863;1,782180071;0,425378203;1,228227973;0,538628638;0,526130676;0,302018613;0,077883653
